reef_name,region_lat,sector,start_year,event_year,target_year,end_year,nadir_year,final_year,gap_years,time_gap_years,sequence_type,sequence_type_primary,seq_category_main,seq_category,start_event_type,target_event_type,start_disturbance_type,target_disturbance_type,baseline_start_year,baseline_end_year,baseline_survey_n,baseline_hc,baseline_juv,baseline_algae,nadir_hc,nadir_juv,nadir_algae,final_hc,final_juv,final_algae,rel_loss,recovery_rate,recovery_pct,cots_lag_3yr,initial_cots,initial_herbivore,start_max_wind,start_max_dhw,target_max_wind,target_max_dhw,storm_exposure_seq,heat_exposure_seq,drop_abs,impact_flag,recovery_gain_abs,recovery_observed_flag,recovery_frac_loss,recovered_flag,fate_status,disturbance_group,baseline_hc_median,baseline_hc_group,juv_change_nadir,juv_loss,juv_recovery_rate,baseline_span_years,baseline_recent_gap_years,baseline_search_window_min_years,baseline_search_window_max_years,seq_category_model,is_s_to_h,is_h_to_s,is_isolated_heatwave,log_gap,gap_squared,storm_exposure_seq_c,heat_exposure_seq_c,baseline_hc_c,gap_years_c,start_year_c,region_lat_c,cots_lag_3yr_c,initial_cots_c,initial_herbivore_c
Low_Isles,-16.384999999999998,Central,2014,2014,2017.0,2020,2020,2024.0,3.0,3.0,S -> H,S_to_H,S_to_H,S_to_H,Storm,Heatwave,Isolated Storm,Isolated Heatwave (Severe),2009,2011,3,29.571445536746666,8.909985329683568,0.4629404181913965,18.97600826011352,,,37.548853464081546,10.378577682871237,0.9593398508986158,0.358299605728331,4.643211300992006,0.6280668687937038,0.0,0.0,,22.26294236357387,0.0,0.0,11.54,22.26294236357387,11.54,10.595437276633145,1,18.572845203968026,1,1.7529097402075149,1.0,recovered,Storm-linked,25.695484005339758,High baseline HC,,,,5,3,2,5,S_to_H,1,0,0,1.3862943611198906,9.0,0.8504994634006309,5.577,2.0595993486781765,0.53125,3.1666666666667425,2.963169467592593,-0.4369166666666667,-0.2345,
Macgillivray_Reef,-14.651944444444444,North-Central,1990,1990,,1993,1993,1997.0,,,Isolated Storm,Isolated_Storm,Isolated_Storm,Isolated_Storm,Storm,,Isolated Storm,,1986,1987,2,29.956711654649844,,,22.18540582688125,,0.7129079886195667,16.47457691199098,,2.4274910174466853,0.2594178532463305,-1.4277072287225678,-0.1906360411224856,0.0233333333333333,0.0,,23.43235980053449,0.54,0.0,0.0,23.43235980053449,0.54,7.771305827768593,1,-5.710828914890271,1,-0.7348609154569902,0.0,failed,Storm-linked,25.695484005339758,High baseline HC,,,,4,3,2,5,Isolated_Storm,0,0,0,0.0,,2.019916900361249,-5.422999999999999,2.444865466581355,,-20.833333333333258,4.696225023148147,-0.41358333333333336,-0.2345,
Macgillivray_Reef,-14.651944444444444,North-Central,2014,2014,2015.0,2015,2015,2019.0,1.0,1.0,S -> S,S_to_S,S_to_S,S_to_S,Storm,Storm,Isolated Storm,Isolated Storm,2009,2011,3,25.0060564290861,15.132786944367272,0.8542692766718037,11.704742324012075,5.96975351703047,1.1550673080493548,9.73613274031132,13.4730787386621,2.705227521772793,0.531923701875776,-0.492152395925189,-0.0787253115773562,0.0866666666666666,0.0,,41.000868,0.0,29.117304,1.69,70.118172,1.69,13.301314105074026,1,-1.968609583700756,1,-0.14800113493671985,0.0,failed,Storm-linked,25.695484005339758,Low baseline HC,-0.6055086522411834,0.6055086522411834,0.4958323439837048,5,3,2,5,S_to_S,0,0,0,0.6931471805599453,1.0,48.70572909982676,-4.273,-2.505789758982388,-1.46875,3.1666666666667425,4.696225023148147,-0.35025000000000006,-0.2345,
Mackay_Reef,-16.044722222222223,Central,1999,1999,,2001,2001,2005.0,,,Isolated Storm,Isolated_Storm,Isolated_Storm,Isolated_Storm,Storm,,Isolated Storm,,1995,1996,2,28.98395132274802,,1.2635542279793452,20.91628210197898,,2.5634182142338515,26.56928464309341,,0.8253415920348188,0.2783495297425903,1.413250635278608,0.1950390572412285,0.1833333333333333,0.28,35.373657250523536,19.857384,0.0,0.0,0.0,19.857384,0.0,8.06766922076904,1,5.653002541114432,1,0.7006983536907536,1.0,recovered,Storm-linked,25.695484005339758,High baseline HC,,,,4,3,2,5,Isolated_Storm,0,0,0,0.0,,-1.5550589001732398,-5.962999999999999,1.4721051346795306,,-11.833333333333258,3.303447245370368,-0.2535833333333334,0.04550000000000004,-7.295055317564618
Mackay_Reef,-16.044722222222223,Central,2014,2014,2017.0,2019,2019,2023.0,3.0,3.0,S -> H,S_to_H,S_to_H,S_to_H,Storm,Heatwave,Isolated Storm,Isolated Heatwave (Severe),2009,2011,3,29.34972297544556,6.476839898629811,0.7937789246253006,13.966008758171286,10.706207078364988,1.433888415113202,20.2462850390892,12.983621695717614,1.9780736165917403,0.5241519393605361,1.5700690702294788,0.2139807686148211,0.0666666666666666,0.0,,24.80804457444268,0.0,0.0,9.13,24.80804457444268,9.13,15.383714217274273,1,6.280276280917915,1,0.4082418713853794,0.0,failed,Storm-linked,25.695484005339758,High baseline HC,0.6529985681180586,0.0,0.35162434968238415,5,3,2,5,S_to_H,1,0,0,1.3862943611198906,9.0,3.3956016742694395,3.1670000000000016,1.8378767873770698,0.53125,3.1666666666667425,3.303447245370368,-0.3702500000000001,-0.2345,
Masthead_Island,-23.54035555555556,South,2015,2015,,2016,2016,2020.0,,,Isolated Storm,Isolated_Storm,Isolated_Storm,Isolated_Storm,Storm,,Isolated Storm,,2010,2012,2,21.69541482183624,2.7035800136483887,0.3347562148637225,12.876205529943,3.994260325721178,0.1995545650996255,21.46250267252677,2.3504468755938097,0.4044372466060034,0.4065010678208735,2.1465742856459427,0.3957655206454841,0.0,0.0,,21.616374742620703,1.02,0.0,0.0,21.616374742620703,1.02,8.819209291893241,1,8.58629714258377,1,0.9735903592260173,1.0,recovered,Storm-linked,25.695484005339758,Low baseline HC,0.47739675007105137,0.0,-0.6080136122581771,5,3,2,5,Isolated_Storm,0,0,0,0.0,,0.20393184244746365,-4.943,-5.816431366232248,,4.1666666666667425,-4.19218608796297,-0.4369166666666667,-0.2345,
Michaelmas_Cay,-16.565555555555555,Central,1999,1999,,2000,2000,2004.0,,,Isolated Storm,Isolated_Storm,Isolated_Storm,Isolated_Storm,Storm,,Isolated Storm,,1994,1997,4,19.75026507499106,,1.776139974000604,20.912119083609184,,5.59999169463654,21.55280505918753,,0.9319125289643854,-0.0588272615180913,0.1601714938945866,0.0324393608463321,0.0366666666666666,0.14,36.12176084304497,19.857384,0.99,0.0,0.0,19.857384,0.99,-1.1618540086181248,0,0.6406859755783465,1,,,non_impact,Storm-linked,25.695484005339758,Low baseline HC,,,,5,2,2,5,Isolated_Storm,0,0,0,0.0,,-1.5550589001732398,-4.972999999999999,-7.76158111307743,,-11.833333333333258,2.7826139120370357,-0.4002500000000001,-0.09449999999999997,-6.546951725043186
Michaelmas_Cay,-16.565555555555555,Central,2006,2006,2010.0,2013,2013,2017.0,4.0,4.0,S -> S,S_to_S,S_to_S,S_to_S,Storm,Storm,Isolated Storm,Isolated Storm,2001,2004,4,22.69562751621664,,3.112842337735128,13.099113936686338,13.68809143576016,5.74370637657635,20.41020459633629,14.81946193048749,6.85606921877095,0.4228353489090941,1.827772664912488,0.3221365284756273,0.0,0.0,,20.0110980221287,0.44,18.51984,1.5,38.53093802212869,1.94,9.596513579530301,1,7.311090659649951,1,0.7618486233630475,1.0,recovered,Storm-linked,25.695484005339758,Low baseline HC,,,,5,2,2,5,S_to_S,0,0,0,1.6094379124341003,16.0,17.118495121955448,-4.023,-4.81621867185185,1.53125,-4.8333333333332575,2.7826139120370357,-0.4369166666666667,-0.2345,
Michaelmas_Cay,-16.565555555555555,Central,2016,2016,2017.0,2019,2019,,1.0,1.0,H -> H,H_to_H,H_to_H,H_to_H,Heatwave,Heatwave,Isolated Heatwave (Moderate),Isolated Heatwave (Severe),2011,2013,2,13.258722097299778,10.189710083347595,4.010151544645104,8.354838764196574,5.578000557986339,6.5926623871489305,,,,0.3698609335889098,,,0.0066666666666666,0.0,,0.0,5.48,0.0,10.96,0.0,16.44,4.903883333103204,0,,0,,,non_impact,Heat-linked,25.695484005339758,Low baseline HC,-0.45258495949731525,0.45258495949731525,,5,3,2,5,H_to_H,0,0,0,0.6931471805599453,1.0,-21.41244290017324,10.477000000000002,-14.253124090768711,-1.46875,5.1666666666667425,2.7826139120370357,-0.4302500000000001,-0.2345,
Moore_Reef,-16.86277777777778,Central,2017,2017,2020.0,2020,2020,,3.0,3.0,H -> H,H_to_H,H_to_H,H_to_H,Heatwave,Heatwave,Isolated Heatwave (Severe),Isolated Heatwave (Moderate),2012,2014,2,20.75119583119908,11.97850957200621,3.7602111466004047,14.956806731098016,4.735319382021261,7.003489874143176,,,,0.2792315752420058,,,0.0033333333333333,0.0,,0.0,10.7,0.0,5.6000000000000005,0.0,16.3,5.794389100101064,1,,0,,,recovery_unobserved,Heat-linked,25.695484005339758,Low baseline HC,-0.6046820889063104,0.6046820889063104,,5,3,2,5,H_to_H,0,0,0,1.3862943611198906,9.0,-21.41244290017324,10.337000000000002,-6.760650356869409,0.53125,6.1666666666667425,2.4853916898148114,-0.4335833333333334,-0.2345,
Myrmidon_Reef,-18.26536388888889,Central,2000,2000,2004.0,2007,2007,2011.0,4.0,4.0,S -> H,S_to_H,S_to_H,S_to_H,Storm,Heatwave,Isolated Storm,Isolated Heatwave (Moderate),1995,1998,4,32.56810937352465,,1.93560429676043,24.116188653212305,16.664458996221782,3.504638210601229,19.65680965325989,5.638791990225919,2.2291163488672394,0.2595152399968019,-1.1148447499881031,-0.1369247121104777,0.0,0.0,34.52628794643188,20.948618644133813,0.0,0.0,4.03,20.948618644133813,4.03,8.451920720312344,1,-4.459378999952413,1,-0.527617230156368,0.0,failed,Storm-linked,25.695484005339758,High baseline HC,,,,5,2,2,5,S_to_H,1,0,0,1.6094379124341003,16.0,-0.4638242560394268,-1.932999999999999,5.05626318545616,1.53125,-10.833333333333258,1.0828055787037023,-0.4369166666666667,-0.2345,-8.142424621656275
North_Direction_Island,-14.743333333333332,North-Central,2014,2014,2015.0,2017,2017,2021.0,1.0,1.0,S -> S,S_to_S,S_to_S,S_to_S,Storm,Storm,Isolated Storm,Isolated Storm,2009,2011,3,32.649381422675525,10.244670371187162,1.39349828825106,4.628370176594759,7.019535250804417,1.854313903534097,9.94392595282751,9.703291353143104,5.89206483832576,0.858240187871361,1.3288889440581877,0.1628072430352696,0.29,0.0,,41.000868,0.0,29.117304,1.82,70.118172,1.82,28.021011246080768,1,5.315555776232751,1,0.18969892733533036,0.0,failed,Storm-linked,25.695484005339758,High baseline HC,-0.3148110191474139,0.3148110191474139,0.26196607651590953,5,3,2,5,S_to_S,0,0,0,0.6931471805599453,1.0,48.70572909982676,-4.142999999999999,5.137535234607036,-1.46875,3.1666666666667425,4.6048361342592585,-0.1469166666666667,-0.2345,
North_Island,-23.184094444444444,South,2014,2014,,2014,2014,2018.0,,,Isolated Heatwave,Isolated_Heatwave,Isolated_Heatwave,Isolated_Heatwave,Heatwave,,Isolated Heatwave (Moderate),,2010,2012,2,9.992175221483514,17.138407004499012,3.774842120121416,34.90716860162028,36.17637913328791,7.042645622632369,49.2702667906601,36.96989021645325,3.2042680790898523,-1.0,3.590774547259956,1.4374345796257335,0.0,0.0,35.032476372104384,0.0,5.42,0.0,0.0,0.0,5.42,-24.914993380136764,0,14.363098189039825,1,,,non_impact,Heat-linked,25.695484005339758,Low baseline HC,1.1108367378479942,0.0,0.04630016564299336,4,2,2,5,Isolated_Heatwave,0,0,1,0.0,,-21.41244290017324,-0.5429999999999993,-17.519670966584975,,3.1666666666667425,-3.835924976851853,-0.4369166666666667,-0.2345,-7.63623619598377
North_Island,-23.184094444444444,South,2020,2020,,2020,2020,,,,Isolated Heatwave,Isolated_Heatwave,Isolated_Heatwave,Isolated_Heatwave,Heatwave,,Isolated Heatwave (Moderate),,2016,2018,2,50.69205158948061,34.802324832071925,3.6368726121391406,36.81985188724767,13.621705529859934,1.6790668527231531,,,,0.2736563083809304,,,0.0,0.0,47.93298627722472,0.0,7.42,0.0,0.0,0.0,7.42,13.87219970223294,1,,0,,,recovery_unobserved,Heat-linked,25.695484005339758,High baseline HC,-0.6085978280017974,0.6085978280017974,,4,2,2,5,Isolated_Heatwave,0,0,1,0.0,,-21.41244290017324,1.4570000000000007,23.180205401412124,,9.166666666666742,-3.835924976851853,-0.4369166666666667,-0.2345,5.2642737091365674
One_Tree_Island,-23.495,South,2020,2020,2024.0,2025,2025,,4.0,4.0,H -> H,H_to_H,H_to_H,H_to_H,Heatwave,Heatwave,Isolated Heatwave (Moderate),Isolated Heatwave (Severe),2015,2017,2,29.253787351521854,35.330412303609464,4.424009919423938,19.17891489677709,5.75338703414633,3.5719392206058007,,,,0.3443954908703692,,,0.0133333333333333,0.0,,0.0,5.34,0.0,11.53,0.0,16.869999999999997,10.074872454744764,1,,0,,,recovery_unobserved,Heat-linked,25.695484005339758,High baseline HC,-0.8371548289698689,0.8371548289698689,,5,3,2,5,H_to_H,0,0,0,1.6094379124341003,16.0,-21.41244290017324,10.906999999999998,1.7419411634533652,1.53125,9.166666666666742,-4.14683053240741,-0.42358333333333337,-0.2345,
Opal_Reef,-16.21527777777778,Central,1999,1999,,2001,2001,2005.0,,,Isolated Storm,Isolated_Storm,Isolated_Storm,Isolated_Storm,Storm,,Isolated Storm,,1995,1997,3,23.2032329017684,,2.821717919102831,18.873807124356844,,2.790076710147148,20.93941091663769,,6.221374535013009,0.1865871792840382,0.5164009480702116,0.0890222410396708,0.0033333333333333,0.0,47.13301285783921,19.857384,0.58,0.0,0.0,19.857384,0.58,4.329425777411554,0,2.0656037922808466,1,,,non_impact,Storm-linked,25.695484005339758,Low baseline HC,,,,4,2,2,5,Isolated_Storm,0,0,0,0.0,,-1.5550589001732398,-5.382999999999999,-4.3086132863000906,,-11.833333333333258,3.1328916898148123,-0.4335833333333334,-0.2345,4.464300289751058
Opal_Reef,-16.21527777777778,Central,2006,2006,2008.0,2009,2009,2013.0,2.0,2.0,H -> H,H_to_H,H_to_H,H_to_H,Heatwave,Heatwave,Isolated Heatwave (Moderate),Isolated Heatwave (Moderate),2001,2004,4,19.64193943949683,,2.3921198797551924,24.25474117730312,7.236329468649156,0.8516517869325071,21.662781901489005,9.240595961252705,3.600838892919056,-0.2348445148207043,-0.6479898189535289,-0.1319604555241676,0.0,0.0,,0.0,4.17,0.0,6.890000000000001,0.0,11.06,-4.61280173780629,0,-2.5919592758141157,1,,,non_impact,Heat-linked,25.695484005339758,Low baseline HC,,,,5,2,2,5,H_to_H,0,0,0,1.0986122886681098,4.0,-21.41244290017324,5.097000000000001,-7.869906748571658,-0.46875,-4.8333333333332575,3.1328916898148123,-0.4369166666666667,-0.2345,
Opal_Reef,-16.21527777777778,Central,2014,2014,2016.0,2019,2019,,2.0,2.0,H -> H,H_to_H,H_to_H,H_to_H,Heatwave,Heatwave,Isolated Heatwave (Severe),Isolated Heatwave (Moderate),2009,2011,2,25.480858791646245,6.116835539391143,1.667162062873471,3.7035191745506144,3.4454344687365386,4.155096625825684,,,,0.8546548526941803,,,0.0,0.0,,0.0,9.69,0.0,6.8100000000000005,0.0,16.5,21.77733961709563,1,,0,,,recovery_unobserved,Heat-linked,25.695484005339758,Low baseline HC,-0.4367292619609175,0.4367292619609175,,5,3,2,5,H_to_H,0,0,0,1.0986122886681098,4.0,-21.41244290017324,10.537,-2.030987396422244,-0.46875,3.1666666666667425,3.1328916898148123,-0.4369166666666667,-0.2345,
Peart_Reef,-17.47472222222222,Central,2017,2017,2020.0,2020,2020,2024.0,3.0,3.0,H -> H,H_to_H,H_to_H,H_to_H,Heatwave,Heatwave,Isolated Heatwave (Severe),Isolated Heatwave (Moderate),2012,2014,2,35.909529100588,29.567569759441877,3.889418090518987,13.879939358890672,9.56529902559695,15.4246525004036,29.108070695344,27.44480223457113,9.464755679940469,0.6134747598607915,3.807032834113332,0.4240693687126065,0.32,0.0,,0.0,8.64,0.0,5.5600000000000005,0.0,14.2,22.02958974169733,1,15.228131336453329,1,0.6912580540539851,1.0,recovered,Heat-linked,25.695484005339758,High baseline HC,-0.676493566991841,0.676493566991841,0.604699789480151,5,3,2,5,H_to_H,0,0,0,1.3862943611198906,9.0,-21.41244290017324,8.237,8.397682912519514,0.53125,6.1666666666667425,1.8734472453703717,-0.11691666666666667,-0.2345,
Pompey_Reef_No_1,-20.93496111111111,South,2015,2015,2017.0,2018,2018,2023.0,2.0,2.0,S -> H,S_to_H,S_to_H,S_to_H,Storm,Heatwave,Isolated Storm,Isolated Heatwave (Moderate),2010,2012,2,35.10781833645442,18.67081891276197,1.9830724305500604,9.000944378371836,24.061610841931103,3.0811782115986466,25.19652755724253,30.714240487417648,1.4379683797069072,0.7436199455029752,3.2391166357741383,0.4613098718826942,0.0,0.0,,41.000868,1.14,0.0,4.24,41.000868,5.38,26.106873958082588,1,16.19558317887069,1,0.6203570448485887,1.0,recovered,Storm-linked,25.695484005339758,High baseline HC,0.28872819956945717,0.0,0.35631161528428235,5,3,2,5,S_to_H,1,0,0,1.0986122886681098,4.0,19.588425099826758,-0.5829999999999993,7.595972148385933,-0.46875,4.1666666666667425,-1.58679164351852,-0.4369166666666667,-0.2345,
Rebe_Reef,-19.7981,Central,2003,2003,2004.0,2007,2007,2011.0,1.0,1.0,S -> H,S_to_H,S_to_H,S_to_H,Storm,Heatwave,Isolated Storm,Isolated Heatwave (Moderate),1998,2001,4,19.540064890544517,,0.3796103552963358,18.11041507736537,7.312275357736754,0.2720162992593848,3.226949971477211,3.2016499437352293,1.7431638812640216,0.073165049409378,-3.72086627647204,-0.7616896458256035,0.0,0.0,39.68700489358476,29.117304,0.15,0.0,5.0,29.117304,5.15,1.4296498131791466,0,-14.88346510588816,1,,,non_impact,Storm-linked,25.695484005339758,Low baseline HC,,,,5,2,2,5,S_to_H,1,0,0,0.6931471805599453,1.0,7.704861099826761,-0.8129999999999988,-7.971781297523972,-1.46875,-7.8333333333332575,-0.44993053240741077,-0.4369166666666667,-0.2345,-2.98170767450339
Reef_13_124,-13.868169444444446,North,2005,2005,,2006,2006,,,,Isolated Storm,Isolated_Storm,Isolated_Storm,Isolated_Storm,Storm,,Isolated Storm,,2000,2003,4,21.10208671715154,,,20.24187811294965,,,,,,0.0407641488603457,,,0.0566666666666666,0.05,,29.976776538560475,0.0,0.0,0.0,29.976776538560475,0.0,0.8602086042018904,0,,0,,,non_impact,Storm-linked,25.695484005339758,Low baseline HC,,,,5,2,2,5,Isolated_Storm,0,0,0,0.0,,8.564333638387236,-5.962999999999999,-6.409759470916949,,-5.8333333333332575,5.480000023148145,-0.3802500000000001,-0.1845,
Reef_19_131,-19.75961388888889,Central,2003,2003,,2004,2004,2007.0,,,Isolated Storm,Isolated_Storm,Isolated_Storm,Isolated_Storm,Storm,,Isolated Storm,,1998,2001,4,35.79505611856024,,2.720071483244692,31.297665557395288,,0.1199846121178013,40.94623232718117,14.542768334181616,1.4034703197244398,0.1256427855921978,3.2161889232619614,0.2695502624113213,0.0,0.0,31.4792465589845,23.774914614487606,0.0,0.0,0.0,23.774914614487606,0.0,4.497390561164952,0,9.648566769785884,1,,,non_impact,Storm-linked,25.695484005339758,High baseline HC,,,,5,2,2,5,Isolated_Storm,0,0,0,0.0,,2.362471714314367,-5.962999999999999,8.28320993049175,,-7.8333333333332575,-0.41144442129629866,-0.4369166666666667,-0.2345,-11.189466009103654
Reef_19_131,-19.75961388888889,Central,2009,2009,2010.0,2011,2011,2015.0,1.0,1.0,S -> S,S_to_S,S_to_S,S_to_S,Storm,Storm,Isolated Storm,Isolated Storm,2004,2007,3,37.30782425015564,14.542768334181616,0.6320549266815089,41.426381208148,6.667632843163999,1.6731574841839594,45.65885291206999,21.217060781880456,0.8690536750965813,-0.1103939197948585,1.058117925980497,0.1134472939387327,0.0,0.0,37.48070597674943,26.802764189629407,0.15,29.117304,0.62,55.92006818962941,0.77,-4.118556957992361,0,4.232471703921988,1,,,non_impact,Storm-linked,25.695484005339758,High baseline HC,-0.5415155704920184,0.5415155704920184,1.00045793238136,5,2,2,5,S_to_S,0,0,0,0.6931471805599453,1.0,34.50762528945617,-5.193,9.795978062087151,-1.46875,-1.8333333333332575,-0.41144442129629866,-0.4369166666666667,-0.2345,-5.188006591338727
Reef_19_131,-19.75961388888889,Central,2017,2017,2020.0,2021,2021,2025.0,3.0,3.0,S -> S,S_to_S,S_to_S,S_to_S,Storm,Storm,Isolated Storm,Isolated Storm,2013,2015,2,46.14105386044096,20.6329402968549,0.9120561156134748,40.887965904616685,21.261645021155573,1.2514541100196277,50.3459443556515,25.67299045719227,0.4652640467021586,0.1138484606726335,2.364494612758703,0.2049796799102504,0.0,0.0,28.67105296130168,35.75358,2.06,38.377224,3.0700000000000003,74.130804,5.130000000000001,5.253087955824277,1,9.457978451034812,1,1.800460706268668,1.0,recovered,Storm-linked,25.695484005339758,High baseline HC,0.03047092247906644,0.0,0.21380110505670988,4,2,2,5,S_to_S,0,0,0,1.3862943611198906,9.0,52.71836109982676,-0.8329999999999984,18.629207672372473,0.53125,6.1666666666667425,-0.41144442129629866,-0.4369166666666667,-0.2345,-13.997659606786474
Reef_19_138,-19.85005555555556,Central,1996,1996,,1997,1997,2001.0,,,Isolated Storm,Isolated_Storm,Isolated_Storm,Isolated_Storm,Storm,,Isolated Storm,,1991,1994,3,23.44745757655971,,0.8816829027797464,16.335131953752622,,0.534255055089355,22.739500228621925,,1.7288379747494056,0.3033303546699766,1.6010920687173256,0.2731370023363093,0.0,0.0,34.35020743346951,18.51984,0.49,0.0,0.0,18.51984,0.49,7.112325622807088,1,6.404368274869302,1,0.9004604983681316,1.0,recovered,Storm-linked,25.695484005339758,Low baseline HC,,,,5,2,2,5,Isolated_Storm,0,0,0,0.0,,-2.892602900173241,-5.472999999999999,-4.064388611508779,,-14.833333333333258,-0.5018860879629692,-0.4369166666666667,-0.2345,-8.318505134618647
Reef_19_138,-19.85005555555556,Central,2003,2003,,2006,2006,2010.0,,,Isolated Storm,Isolated_Storm,Isolated_Storm,Isolated_Storm,Storm,,Isolated Storm,,1998,2001,4,19.755538557880666,,3.189866362670475,19.965417604047207,,,22.50704128744894,,,-0.0106238078780607,0.6354059208504328,0.1286537279636881,0.0,0.0,38.17180647001712,28.30726962939996,0.0,0.0,0.0,28.30726962939996,0.0,-0.20987904616654163,0,2.541623683401731,1,,,non_impact,Storm-linked,25.695484005339758,Low baseline HC,,,,5,2,2,5,Isolated_Storm,0,0,0,0.0,,6.894826729226722,-5.962999999999999,-7.756307630187823,,-7.8333333333332575,-0.5018860879629692,-0.4369166666666667,-0.2345,-4.496906098071037
Reef_19_138,-19.85005555555556,Central,2009,2009,2010.0,2010,2010,2013.0,1.0,1.0,S -> S,S_to_S,S_to_S,S_to_S,Storm,Storm,Isolated Storm,Isolated Storm,2004,2007,4,34.88315115096006,,0.3149885632598524,22.50704128744894,,,34.86017653788709,,0.5579068418734491,0.3547876110719574,4.117711750146051,0.3541289947395755,0.0,0.0,40.093722635240326,26.29000264676222,0.14,29.117304,1.11,55.40730664676222,1.25,12.376109863511122,1,12.353135250438154,1,0.9981436321003658,1.0,recovered,Storm-linked,25.695484005339758,High baseline HC,,,,5,2,2,5,S_to_S,0,0,0,0.6931471805599453,1.0,33.99486374658898,-4.712999999999999,7.371304962891571,-1.46875,-1.8333333333332575,-0.5018860879629692,-0.4369166666666667,-0.2345,-2.574989932847828
Reef_19_138,-19.85005555555556,Central,2017,2017,,2019,2019,2023.0,,,Isolated Storm,Isolated_Storm,Isolated_Storm,Isolated_Storm,Storm,,Isolated Storm,,2013,2015,2,38.39600659023915,,0.739518298273022,34.1234816433095,,1.2360283053825667,43.47725959871386,,1.6422012180189924,0.1112752425669129,2.3384444888510885,0.2436133021651847,0.0,0.0,27.85299076501392,35.75358,2.64,0.0,0.0,35.75358,2.64,4.27252494692965,0,9.353777955404354,1,,,non_impact,Storm-linked,25.695484005339758,High baseline HC,,,,4,2,2,5,Isolated_Storm,0,0,0,0.0,,14.34113709982676,-3.322999999999999,10.884160402170664,,6.1666666666667425,-0.5018860879629692,-0.4369166666666667,-0.2345,-14.815721803074233
Reef_20_104,-20.031713888888888,South,2003,2003,,2003,2003,2007.0,,,Isolated Storm,Isolated_Storm,Isolated_Storm,Isolated_Storm,Storm,,Isolated Storm,,1998,2001,4,25.883639338831568,,6.423335513805486,34.730337527963414,,2.720676546705289,48.50110111498135,14.661095110521016,1.0670881308722475,-0.34178726079913,3.4426908967544847,0.5320257868976926,0.0,0.0,33.97422999220592,29.117304,0.0,0.0,0.0,29.117304,0.0,-8.846698189131846,0,13.770763587017939,1,,,non_impact,Storm-linked,25.695484005339758,High baseline HC,,,,5,2,2,5,Isolated_Storm,0,0,0,0.0,,7.704861099826761,-5.962999999999999,-1.6282068492369213,,-7.8333333333332575,-0.6835444212962969,-0.4369166666666667,-0.2345,-8.694482575882233
