reference_category,term,Coefficient,StdErr,P-value,CI_lower,CI_upper,P-value_FDR,Significant_FDR,model_name
Isolated_Heatwave,Intercept,0.45418068286010727,0.24923903770859032,0.06841411204092904,-0.034318854590150216,0.9426802203103648,,,rel_loss_ref_Isolated_Heatwave
Isolated_Heatwave,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.H_to_H]",-0.45205606353474387,0.25467817052628383,0.07589638899637964,-0.9512161054148105,0.04710397834532276,0.13661350019348334,False,rel_loss_ref_Isolated_Heatwave
Isolated_Heatwave,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.Isolated_Storm]",-0.12490198478090869,0.3217936397872823,0.6979101292155909,-0.7556059292180375,0.50580195965622,0.6979101292155909,False,rel_loss_ref_Isolated_Heatwave
Isolated_Heatwave,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_H]",-0.11885296238685013,0.29800158242058156,0.6900160192272454,-0.7029253312671345,0.46521940649343424,0.6979101292155909,False,rel_loss_ref_Isolated_Heatwave
Isolated_Heatwave,"C(seq_category_model, Treatment(reference='Isolated_Heatwave'))[T.S_to_S]",-0.5976040821658494,0.46683928976689193,0.20050762806236289,-1.5125922766772157,0.317384112345517,0.28292829749483445,False,rel_loss_ref_Isolated_Heatwave
Isolated_Heatwave,storm_exposure_seq_c,0.014061839472835645,0.005978418357395058,0.018667741654704077,0.0023443548078282226,0.02577932413784307,0.05600322496411223,False,rel_loss_ref_Isolated_Heatwave
Isolated_Heatwave,heat_exposure_seq_c,0.06613713042088665,0.021993136297329293,0.0026369104021422706,0.023031375371040635,0.10924288547073266,0.011866096809640219,True,rel_loss_ref_Isolated_Heatwave
Isolated_Heatwave,baseline_hc_c,0.021230536799785673,0.003352017443457529,2.3941371253807667e-10,0.01466070333505889,0.02780037026451246,2.15472341284269e-09,True,rel_loss_ref_Isolated_Heatwave
Isolated_Heatwave,start_year_c,-0.014341812832346708,0.0072182863686879135,0.04693655621238978,-0.02848939414507143,-0.00019423151962198737,0.105607251477877,False,rel_loss_ref_Isolated_Heatwave
Isolated_Heatwave,region_lat_c,0.01747539069219918,0.014249561162019822,0.22005534249598235,-0.010453235980860391,0.04540401736525875,0.28292829749483445,False,rel_loss_ref_Isolated_Heatwave
Isolated_Storm,Intercept,0.3292786980791989,0.14629573976176763,0.02439983312520339,0.04254431705449002,0.6160130791039078,,,rel_loss_ref_Isolated_Storm
Isolated_Storm,"C(seq_category_model, Treatment(reference='Isolated_Storm'))[T.H_to_H]",-0.3271540787538368,0.3714687841457326,0.3784780006772316,-1.055219517060356,0.4009113595526825,0.4866145722992977,False,rel_loss_ref_Isolated_Storm
Isolated_Storm,"C(seq_category_model, Treatment(reference='Isolated_Storm'))[T.Isolated_Heatwave]",0.12490198478090726,0.3217936397873002,0.6979101292156102,-0.5058019596562564,0.755605929218071,0.7851488953675616,False,rel_loss_ref_Isolated_Storm
Isolated_Storm,"C(seq_category_model, Treatment(reference='Isolated_Storm'))[T.S_to_H]",0.006049022394055425,0.17485051310877245,0.9724023743496605,-0.3366516859774872,0.348749730765598,0.9724023743496605,False,rel_loss_ref_Isolated_Storm
Isolated_Storm,"C(seq_category_model, Treatment(reference='Isolated_Storm'))[T.S_to_S]",-0.4727020973849365,0.2234042569450644,0.03435292119806764,-0.910566394990195,-0.03483779977967805,0.0772940726956522,False,rel_loss_ref_Isolated_Storm
Isolated_Storm,storm_exposure_seq_c,0.014061839472835548,0.005978418357394767,0.01866774165469912,0.002344354807828696,0.0257793241378424,0.05600322496409736,False,rel_loss_ref_Isolated_Storm
Isolated_Storm,heat_exposure_seq_c,0.06613713042088659,0.02199313629732938,0.0026369104021423907,0.023031375371040406,0.10924288547073277,0.011866096809640759,True,rel_loss_ref_Isolated_Storm
Isolated_Storm,baseline_hc_c,0.021230536799785607,0.003352017443457504,2.3941371253803325e-10,0.014660703335058874,0.02780037026451234,2.154723412842299e-09,True,rel_loss_ref_Isolated_Storm
Isolated_Storm,start_year_c,-0.014341812832346722,0.007218286368688,0.046936556212392226,-0.028489394145071612,-0.00019423151962183124,0.084485801182306,False,rel_loss_ref_Isolated_Storm
Isolated_Storm,region_lat_c,0.017475390692199954,0.014249561162019777,0.22005534249596037,-0.01045323598085953,0.04540401736525944,0.33008301374394056,False,rel_loss_ref_Isolated_Storm
H_to_H,Intercept,0.0021246193253617283,0.2450482421842182,0.9930822612573494,-0.4781611098305547,0.4824103484812782,,,rel_loss_ref_H_to_H
H_to_H,"C(seq_category_model, Treatment(reference='H_to_H'))[T.Isolated_Heatwave]",0.4520560635347468,0.25467817052628544,0.07589638899637954,-0.04710397834532298,0.9512161054148166,0.13661350019348317,False,rel_loss_ref_H_to_H
H_to_H,"C(seq_category_model, Treatment(reference='H_to_H'))[T.Isolated_Storm]",0.32715407875383684,0.3714687841457194,0.3784780006772147,-0.40091135955265655,1.0552195170603302,0.4257877507618666,False,rel_loss_ref_H_to_H
H_to_H,"C(seq_category_model, Treatment(reference='H_to_H'))[T.S_to_H]",0.3332031011478921,0.28212141875351643,0.23757779285778446,-0.21974471887634306,0.8861509211721272,0.3054571622457229,False,rel_loss_ref_H_to_H
H_to_H,"C(seq_category_model, Treatment(reference='H_to_H'))[T.S_to_S]",-0.1455480186311009,0.47859717850427824,0.7610411744731362,-1.0835812516019736,0.7924852143397718,0.7610411744731362,False,rel_loss_ref_H_to_H
H_to_H,storm_exposure_seq_c,0.014061839472835505,0.005978418357394927,0.018667741654702686,0.002344354807828339,0.02577932413784267,0.05600322496410806,False,rel_loss_ref_H_to_H
H_to_H,heat_exposure_seq_c,0.06613713042088669,0.021993136297329255,0.0026369104021422085,0.023031375371040753,0.10924288547073263,0.01186609680963994,True,rel_loss_ref_H_to_H
H_to_H,baseline_hc_c,0.02123053679978551,0.003352017443457516,2.3941371253811333e-10,0.014660703335058752,0.027800370264512268,2.15472341284302e-09,True,rel_loss_ref_H_to_H
H_to_H,start_year_c,-0.014341812832346647,0.007218286368688061,0.046936556212395175,-0.028489394145071657,-0.00019423151962163696,0.10560725147788914,False,rel_loss_ref_H_to_H
H_to_H,region_lat_c,0.017475390692199878,0.014249561162019841,0.22005534249596437,-0.010453235980859732,0.04540401736525949,0.3054571622457229,False,rel_loss_ref_H_to_H
